record_type,config_index,num_threads,bm,bn,bk,wm,wn,wniter,tm,tn,shape_type,size_m,size_n,size_k,kernel_time_s,kernel_gflops,cublas_time_s,cublas_gflops,relative_to_cublas,status
phase3_tuning,6,256,128,128,8,64,32,2,8,4,square,1024,1024,1024,0.000185,11631.3,0.000153,14040.9,0.8283870692049654,ok
phase3_tuning,6,256,128,128,8,64,32,2,8,4,square,2048,2048,2048,0.001414,12146.8,0.001082,15878.4,0.7649889157597742,ok
phase3_tuning,6,256,128,128,8,64,32,2,8,4,square,4096,4096,4096,0.011332,12128.1,0.008428,16306.7,0.7437495017385491,ok
phase3_tuning,7,128,64,256,8,64,64,2,4,8,square,128,128,128,3.7e-05,112.2,1.8e-05,231.1,0.4855041107745565,ok
phase3_tuning,7,128,64,256,8,64,64,2,4,8,square,256,256,256,3.7e-05,904.9,1.9e-05,1812.1,0.4993653771866895,ok
phase3_tuning,7,128,64,256,8,64,64,2,4,8,square,512,512,512,6.6e-05,4058.3,3e-05,9056.0,0.4481338339222615,ok
phase3_tuning,7,128,64,256,8,64,64,2,4,8,square,1024,1024,1024,0.000221,9732.5,0.000153,14040.9,0.6931535727766739,ok
phase3_tuning,7,128,64,256,8,64,64,2,4,8,square,2048,2048,2048,0.001496,11485.0,0.001082,15878.4,0.7233096533655784,ok
phase3_tuning,7,128,64,256,8,64,64,2,4,8,square,4096,4096,4096,0.010135,13561.0,0.008428,16306.7,0.8316213580920725,ok
phase3_tuning,8,256,64,128,16,32,32,2,4,4,square,128,128,128,1.3e-05,327.0,1.8e-05,231.1,1.4149718736477717,ok
phase3_tuning,8,256,64,128,16,32,32,2,4,4,square,256,256,256,2.1e-05,1588.3,1.9e-05,1812.1,0.8764968820705259,ok
phase3_tuning,8,256,64,128,16,32,32,2,4,4,square,512,512,512,3.8e-05,6984.9,3e-05,9056.0,0.7713007950530035,ok
phase3_tuning,8,256,64,128,16,32,32,2,4,4,square,1024,1024,1024,0.000185,11625.4,0.000153,14040.9,0.8279668682206981,ok
phase3_tuning,8,256,64,128,16,32,32,2,4,4,square,2048,2048,2048,0.001345,12770.7,0.001082,15878.4,0.8042812877871827,ok
phase3_tuning,8,256,64,128,16,32,32,2,4,4,square,4096,4096,4096,0.011449,12004.6,0.008428,16306.7,0.7361759276861658,ok
phase3_tuning,9,256,128,256,8,64,64,1,8,4,square,128,128,128,5e-05,84.3,1.8e-05,231.1,0.36477715274772826,ok
phase3_tuning,9,256,128,256,8,64,64,1,8,4,square,256,256,256,5.6e-05,600.9,1.9e-05,1812.1,0.33160421610286406,ok
phase3_tuning,9,256,128,256,8,64,64,1,8,4,square,512,512,512,0.000104,2590.5,3e-05,9056.0,0.28605344522968196,ok
phase3_tuning,9,256,128,256,8,64,64,1,8,4,square,1024,1024,1024,0.000201,10684.3,0.000153,14040.9,0.7609412502047589,ok
phase3_tuning,9,256,128,256,8,64,64,1,8,4,square,2048,2048,2048,0.001825,9412.0,0.001082,15878.4,0.5927549375251915,ok
phase3_tuning,9,256,128,256,8,64,64,1,8,4,square,4096,4096,4096,0.014451,9510.4,0.008428,16306.7,0.5832203940711487,ok
phase3_tuning,10,128,64,128,32,32,64,4,4,4,square,128,128,128,1.4e-05,310.2,1.8e-05,231.1,1.3422760709649502,ok
phase3_tuning,10,128,64,128,32,32,64,4,4,4,square,256,256,256,2.1e-05,1581.4,1.9e-05,1812.1,0.8726891451906629,ok
phase3_tuning,10,128,64,128,32,32,64,4,4,4,square,512,512,512,3.9e-05,6867.9,3e-05,9056.0,0.758381183745583,ok
phase3_tuning,10,128,64,128,32,32,64,4,4,4,square,1024,1024,1024,0.000199,10780.4,0.000153,14040.9,0.7677855408129108,ok
phase3_tuning,10,128,64,128,32,32,64,4,4,4,square,2048,2048,2048,0.001431,12002.3,0.001082,15878.4,0.7558885026199113,ok
phase3_tuning,10,128,64,128,32,32,64,4,4,4,square,4096,4096,4096,0.011791,11655.9,0.008428,16306.7,0.7147920793293554,ok
phase3_tuning,11,256,128,64,32,32,32,1,4,4,square,128,128,128,1.2e-05,360.6,1.8e-05,231.1,1.5603634790134142,ok
phase3_tuning,11,256,128,64,32,32,32,1,4,4,square,256,256,256,1.9e-05,1797.5,1.9e-05,1812.1,0.9919430495005795,ok
phase3_tuning,11,256,128,64,32,32,32,1,4,4,square,512,512,512,3.4e-05,7948.0,3e-05,9056.0,0.8776501766784452,ok
phase3_tuning,11,256,128,64,32,32,32,1,4,4,square,1024,1024,1024,0.000204,10526.1,0.000153,14040.9,0.7496741661859283,ok
phase3_tuning,11,256,128,64,32,32,32,1,4,4,square,2048,2048,2048,0.00154,11157.6,0.001082,15878.4,0.7026904474002419,ok
phase3_tuning,11,256,128,64,32,32,32,1,4,4,square,4096,4096,4096,0.011698,11749.3,0.008428,16306.7,0.7205197863454899,ok
phase3_tuning,12,128,128,128,16,64,64,1,8,8,square,128,128,128,2.2e-05,189.8,1.8e-05,231.1,0.8212894850713978,ok
phase3_tuning,12,128,128,128,16,64,64,1,8,8,square,256,256,256,3.7e-05,896.7,1.9e-05,1812.1,0.4948402406048232,ok
phase3_tuning,12,128,128,128,16,64,64,1,8,8,square,512,512,512,6.9e-05,3915.0,3e-05,9056.0,0.4323100706713781,ok
phase3_tuning,12,128,128,128,16,64,64,1,8,8,square,1024,1024,1024,0.000185,11593.3,0.000153,14040.9,0.8256806899842603,ok
phase3_tuning,12,128,128,128,16,64,64,1,8,8,square,2048,2048,2048,0.001275,13471.1,0.001082,15878.4,0.8483915255945184,ok
phase3_tuning,12,128,128,128,16,64,64,1,8,8,square,4096,4096,4096,0.00952,14436.8,0.008428,16306.7,0.8853293431534276,ok
phase3_tuning,13,256,128,128,32,32,64,2,8,4,square,128,128,128,1.7e-05,245.3,1.8e-05,231.1,1.0614452617914323,ok
phase3_tuning,13,256,128,128,32,32,64,2,8,4,square,256,256,256,3e-05,1122.5,1.9e-05,1812.1,0.619447050383533,ok
phase3_tuning,13,256,128,128,32,32,64,2,8,4,square,512,512,512,5.6e-05,4804.0,3e-05,9056.0,0.5304770318021201,ok
phase3_tuning,13,256,128,128,32,32,64,2,8,4,square,1024,1024,1024,0.000187,11495.3,0.000153,14040.9,0.8187010804150731,ok
phase3_tuning,13,256,128,128,32,32,64,2,8,4,square,2048,2048,2048,0.001442,11915.6,0.001082,15878.4,0.7504282547359936,ok
phase3_tuning,13,256,128,128,32,32,64,2,8,4,square,4096,4096,4096,0.010405,13208.5,0.008428,16306.7,0.8100044766874965,ok
phase3_tuning,14,256,128,256,32,32,128,4,8,4,square,128,128,128,5.5e-05,76.3,1.8e-05,231.1,0.3301601038511467,ok
phase3_tuning,14,256,128,256,32,32,128,4,8,4,square,256,256,256,5.1e-05,655.7,1.9e-05,1812.1,0.36184537277192214,ok
phase3_tuning,14,256,128,256,32,32,128,4,8,4,square,512,512,512,8.7e-05,3096.0,3e-05,9056.0,0.3418727915194346,ok
phase3_tuning,14,256,128,256,32,32,128,4,8,4,square,1024,1024,1024,0.00017,12605.2,0.000153,14040.9,0.8977487198114081,ok
phase3_tuning,14,256,128,256,32,32,128,4,8,4,square,2048,2048,2048,0.001424,12063.3,0.001082,15878.4,0.759730199516324,ok
phase3_tuning,14,256,128,256,32,32,128,4,8,4,square,4096,4096,4096,0.011093,12389.5,0.008428,16306.7,0.7597797224453752,ok
phase3_tuning,15,128,128,128,32,128,32,1,8,4,square,128,128,128,2.1e-05,199.3,1.8e-05,231.1,0.8623972306360883,ok
phase3_tuning,15,128,128,128,32,128,32,1,8,4,square,256,256,256,3.6e-05,943.9,1.9e-05,1812.1,0.5208873682467855,ok
phase3_tuning,15,128,128,128,32,128,32,1,8,4,square,512,512,512,6.4e-05,4215.1,3e-05,9056.0,0.46544832155477034,ok
phase3_tuning,15,128,128,128,32,128,32,1,8,4,square,1024,1024,1024,0.000191,11253.5,0.000153,14040.9,0.801479962110691,ok
phase3_tuning,15,128,128,128,32,128,32,1,8,4,square,2048,2048,2048,0.001329,12928.7,0.001082,15878.4,0.814231912535268,ok
phase3_tuning,15,128,128,128,32,128,32,1,8,4,square,4096,4096,4096,0.009654,14236.7,0.008428,16306.7,0.873058313453979,ok
phase3_tuning,16,128,64,128,32,32,64,2,4,4,square,128,128,128,1.5e-05,281.9,1.8e-05,231.1,1.2198182604932928,ok
phase3_tuning,16,128,64,128,32,32,64,2,4,4,square,256,256,256,2.3e-05,1431.3,1.9e-05,1812.1,0.789857071905524,ok
phase3_tuning,16,128,64,128,32,32,64,2,4,4,square,512,512,512,4.1e-05,6514.8,3e-05,9056.0,0.7193904593639576,ok
phase3_tuning,16,128,64,128,32,32,64,2,4,4,square,1024,1024,1024,0.000181,11862.1,0.000153,14040.9,0.8448247619454594,ok
phase3_tuning,16,128,64,128,32,32,64,2,4,4,square,2048,2048,2048,0.00131,13114.5,0.001082,15878.4,0.8259333434099154,ok
phase3_tuning,16,128,64,128,32,32,64,2,4,4,square,4096,4096,4096,0.010363,13263.0,0.008428,16306.7,0.8133466611883459,ok
phase3_tuning,17,256,64,256,32,32,64,1,4,8,square,128,128,128,2.3e-05,181.7,1.8e-05,231.1,0.7862397230636088,ok
phase3_tuning,17,256,64,256,32,32,64,1,4,8,square,256,256,256,3.2e-05,1061.3,1.9e-05,1812.1,0.5856740797969207,ok
phase3_tuning,17,256,64,256,32,32,64,1,4,8,square,512,512,512,5.8e-05,4629.1,3e-05,9056.0,0.5111638692579505,ok
phase3_tuning,17,256,64,256,32,32,64,1,4,8,square,1024,1024,1024,0.000172,12495.7,0.000153,14040.9,0.8899500744254286,ok
phase3_tuning,17,256,64,256,32,32,64,1,4,8,square,2048,2048,2048,0.00135,12721.7,0.001082,15878.4,0.8011953345425232,ok
phase3_tuning,17,256,64,256,32,32,64,1,4,8,square,4096,4096,4096,0.010277,13373.0,0.008428,16306.7,0.8200923546762987,ok
phase3_tuning,18,256,128,256,32,128,32,4,4,8,square,128,128,128,5.4e-05,77.9,1.8e-05,231.1,0.337083513630463,ok
phase3_tuning,18,256,128,256,32,128,32,4,4,8,square,256,256,256,5.4e-05,623.4,1.9e-05,1812.1,0.34402074940676564,ok
phase3_tuning,18,256,128,256,32,128,32,4,4,8,square,512,512,512,0.000107,2506.5,3e-05,9056.0,0.2767778268551237,ok
phase3_tuning,18,256,128,256,32,128,32,4,4,8,square,1024,1024,1024,0.000177,12140.5,0.000153,14040.9,0.8646525507624155,ok
phase3_tuning,18,256,128,256,32,128,32,4,4,8,square,2048,2048,2048,0.001406,12220.0,0.001082,15878.4,0.7695989520354696,ok
phase3_tuning,18,256,128,256,32,128,32,4,4,8,square,4096,4096,4096,0.011303,12159.1,0.008428,16306.7,0.7456505608124268,ok
phase3_tuning,19,128,128,256,32,64,128,4,8,4,square,128,128,128,0.000301,13.9,1.8e-05,231.1,0.060147122457810474,ok
phase3_tuning,19,128,128,256,32,64,128,4,8,4,square,256,256,256,0.000983,34.1,1.9e-05,1812.1,0.018817946029468575,ok
phase3_tuning,19,128,128,256,32,64,128,4,8,4,square,512,512,512,0.001905,140.9,3e-05,9056.0,0.01555874558303887,ok
phase3_tuning,19,128,128,256,32,64,128,4,8,4,square,1024,1024,1024,0.004745,452.6,0.000153,14040.9,0.0322344009287154,ok
phase3_tuning,19,128,128,256,32,64,128,4,8,4,square,2048,2048,2048,0.036944,465.0,0.001082,15878.4,0.029285066505441354,ok
phase3_tuning,19,128,128,256,32,64,128,4,8,4,square,4096,4096,4096,0.277513,495.3,0.008428,16306.7,0.030374018041663856,ok
phase3_tuning,20,256,128,256,16,128,32,2,4,4,square,128,128,128,4.3e-05,96.4,1.8e-05,231.1,0.4171354392038079,ok
phase3_tuning,20,256,128,256,16,128,32,2,4,4,square,256,256,256,5e-05,677.4,1.9e-05,1812.1,0.37382042933612936,ok
phase3_tuning,20,256,128,256,16,128,32,2,4,4,square,512,512,512,9.1e-05,2953.2,3e-05,9056.0,0.3261042402826855,ok
phase3_tuning,20,256,128,256,16,128,32,2,4,4,square,1024,1024,1024,0.00019,11275.4,0.000153,14040.9,0.8030396911878868,ok
phase3_tuning,20,256,128,256,16,128,32,2,4,4,square,2048,2048,2048,0.001547,11105.0,0.001082,15878.4,0.6993777710600565,ok
phase3_tuning,20,256,128,256,16,128,32,2,4,4,square,4096,4096,4096,0.0112,12271.3,0.008428,16306.7,0.7525311681701385,ok
phase3_tuning,21,128,128,128,16,128,32,2,4,8,square,128,128,128,2.1e-05,199.5,1.8e-05,231.1,0.8632626568585028,ok
phase3_tuning,21,128,128,128,16,128,32,2,4,8,square,256,256,256,3.7e-05,913.9,1.9e-05,1812.1,0.5043319905082501,ok
phase3_tuning,21,128,128,128,16,128,32,2,4,8,square,512,512,512,6.4e-05,4172.2,3e-05,9056.0,0.46071113074204945,ok
phase3_tuning,21,128,128,128,16,128,32,2,4,8,square,1024,1024,1024,0.000175,12291.9,0.000153,14040.9,0.8754353353417516,ok
phase3_tuning,21,128,128,128,16,128,32,2,4,8,square,2048,2048,2048,0.001305,13168.7,0.001082,15878.4,0.8293467855703346,ok
phase3_tuning,21,128,128,128,16,128,32,2,4,8,square,4096,4096,4096,0.008806,15606.6,0.008428,16306.7,0.9570667271734931,ok
phase3_tuning,22,128,128,256,16,128,64,1,4,4,square,128,128,128,0.00028,15.0,1.8e-05,231.1,0.06490696668109044,ok
phase3_tuning,22,128,128,256,16,128,64,1,4,4,square,256,256,256,0.000886,37.9,1.9e-05,1812.1,0.02091496054301639,ok
phase3_tuning,22,128,128,256,16,128,64,1,4,4,square,512,512,512,0.001761,152.5,3e-05,9056.0,0.016839664310954065,ok
phase3_tuning,22,128,128,256,16,128,64,1,4,4,square,1024,1024,1024,0.004372,491.2,0.000153,14040.9,0.034983512452905444,ok
phase3_tuning,22,128,128,256,16,128,64,1,4,4,square,2048,2048,2048,0.034181,502.6,0.001082,15878.4,0.03165306328093511,ok
phase3_tuning,22,128,128,256,16,128,64,1,4,4,square,4096,4096,4096,0.258881,530.9,0.008428,16306.7,0.0325571697523104,ok
phase3_tuning,23,128,128,256,16,64,128,1,8,8,square,128,128,128,0.000285,14.7,1.8e-05,231.1,0.06360882734746863,ok
phase3_tuning,23,128,128,256,16,64,128,1,8,8,square,256,256,256,0.000892,37.6,1.9e-05,1812.1,0.02074940676563104,ok
phase3_tuning,23,128,128,256,16,64,128,1,8,8,square,512,512,512,0.001772,151.5,3e-05,9056.0,0.016729240282685513,ok
phase3_tuning,23,128,128,256,16,64,128,1,8,8,square,1024,1024,1024,0.004351,493.6,0.000153,14040.9,0.03515444166684472,ok
phase3_tuning,23,128,128,256,16,64,128,1,8,8,square,2048,2048,2048,0.03423,501.9,0.001082,15878.4,0.03160897823458283,ok
phase3_tuning,23,128,128,256,16,64,128,1,8,8,square,4096,4096,4096,0.265705,517.3,0.008428,16306.7,0.03172315673925441,ok
phase3_tuning,24,256,128,256,32,32,128,4,4,8,square,128,128,128,4.8e-05,87.9,1.8e-05,231.1,0.38035482475119,ok
phase3_tuning,24,256,128,256,32,32,128,4,4,8,square,256,256,256,5e-05,673.7,1.9e-05,1812.1,0.3717785994150434,ok
phase3_tuning,24,256,128,256,32,32,128,4,4,8,square,512,512,512,9.1e-05,2962.5,3e-05,9056.0,0.32713118374558303,ok
phase3_tuning,24,256,128,256,32,32,128,4,4,8,square,1024,1024,1024,0.000184,11670.8,0.000153,14040.9,0.8312002791843828,ok
phase3_tuning,24,256,128,256,32,32,128,4,4,8,square,2048,2048,2048,0.001461,11760.0,0.001082,15878.4,0.7406287787182588,ok
phase3_tuning,24,256,128,256,32,32,128,4,4,8,square,4096,4096,4096,0.011348,12110.9,0.008428,16306.7,0.7426947205749783,ok
phase3_tuning,25,128,128,256,32,128,64,1,4,4,square,128,128,128,0.000262,16.0,1.8e-05,231.1,0.06923409779316314,ok
phase3_tuning,25,128,128,256,32,128,64,1,4,4,square,256,256,256,0.000886,37.9,1.9e-05,1812.1,0.02091496054301639,ok
phase3_tuning,25,128,128,256,32,128,64,1,4,4,square,512,512,512,0.001775,151.3,3e-05,9056.0,0.016707155477031804,ok
phase3_tuning,25,128,128,256,32,128,64,1,4,4,square,1024,1024,1024,0.004378,490.5,0.000153,14040.9,0.03493365809883982,ok
phase3_tuning,25,128,128,256,32,128,64,1,4,4,square,2048,2048,2048,0.033843,507.6,0.001082,15878.4,0.03196795646916566,ok
phase3_tuning,25,128,128,256,32,128,64,1,4,4,square,4096,4096,4096,0.269851,509.3,0.008428,16306.7,0.031232560849221484,ok
phase3_tuning,26,128,64,256,16,32,128,4,4,4,square,128,128,128,3.3e-05,125.8,1.8e-05,231.1,0.5443530938987451,ok
phase3_tuning,26,128,64,256,16,32,128,4,4,4,square,256,256,256,3.5e-05,949.1,1.9e-05,1812.1,0.5237569670547984,ok
phase3_tuning,26,128,64,256,16,32,128,4,4,4,square,512,512,512,6.2e-05,4334.4,3e-05,9056.0,0.47862190812720845,ok
phase3_tuning,26,128,64,256,16,32,128,4,4,4,square,1024,1024,1024,0.000183,11736.8,0.000153,14040.9,0.8359008325677129,ok
phase3_tuning,26,128,64,256,16,32,128,4,4,4,square,2048,2048,2048,0.001279,13431.2,0.001082,15878.4,0.8458786779524387,ok
phase3_tuning,26,128,64,256,16,32,128,4,4,4,square,4096,4096,4096,0.009153,15016.0,0.008428,16306.7,0.9208484855918119,ok
phase3_tuning,27,256,128,128,16,32,64,2,4,8,square,128,128,128,1.7e-05,241.6,1.8e-05,231.1,1.0454348766767634,ok
